ticker,name,sector,market_cap,EPS,PE_ratio,ROE,PB_ratio,div_payout_ratio,PS_ratio,FCF,divident_yield,debt_equity,earnings_growth
ATI.JO,Afristrat Inv Hldgs Ltd,Industrials,59445899264.0,-0.005,,,,0.0,-404.38013,,,,
ATT.JO,Attacq Limited,Real Estate,540830072832.0,0.216,3550.9258,0.01358,48.68605,0.0,219.76573,64059376.0,,91.65,2.33
AVI.JO,AVI Ltd,Consumer Defensive,2508661194752.0,4.974,1527.9453,0.34939,569.886,0.8243,189.05896,1814562560.0,0.073,43.588,2.06
AVL.JO,Advanced Health Ltd,Healthcare,27433175040.0,-0.052,,0.00345,504.58716,0.0,40.3029,70974496.0,,353.763,
AVV.JO,Alviva Holdings Ltd,Technology,205137494016.0,2.589,695.6354,0.12347999,84.94482,0.0579,13.773963,7416125.0,0.0168,59.545,
AYO.JO,Ayo Tech Solutions Ltd,Technology,135928979456.0,-0.596,,-0.06537,35.28676,,79.982124,-544966720.0,0.1714,3.844,
BAT.JO,Brait PLC,Financial Services,604555444224.0,0.997,459.37814,0.12276,1139.3035,0.0,5962.6187,38710352.0,,62.83,
BAU.JO,Bauba Resources Limited,Basic Materials,27743229952.0,-0.047,,-0.08891,83.333336,0.0,100.11992,-117232376.0,,34.804,
BAW.JO,Barloworld Ltd,Industrials,2731496701952.0,13.758,1001.381,0.1362,128.7859,0.0992,65.73525,6197749760.0,0.0315,63.575,1.02
BCF.JO,Bowler Metcalf Ltd,Consumer Cyclical,84505886720.0,1.273,926.1587,0.12942,115.328186,0.3841,132.97334,19913750.0,0.0428,0.218,
BEL.JO,Bell Equipment Ltd,Industrials,123361927168.0,1.539,838.2066,0.04681,34.361515,0.0,16.547428,853284096.0,,30.861,
BHP.JO,BHP Group Plc,Basic Materials,106251904090112.0,35.438,1419.5779,0.2496,4962.711,0.6935,1735.2632,18975250432.0,0.0884,38.79,-0.42
BID.JO,BID Corporation Ltd,Consumer Defensive,11092396867584.0,9.232,3595.1038,0.11273,398.05234,0.0,96.620766,3896800000.0,0.012200001,50.256,1.78
BIK.JO,Brikor Ltd,Industrials,32257679360.0,0.031,1290.3226,0.24518,277.7778,0.0,114.19496,16181000.0,,25.768,
BLU.JO,Blue Label Telecoms Ltd,Communication Services,462770241536.0,0.914,563.45734,0.29823,140.86433,0.0,25.09782,1304778752.0,,55.063,
BRN.JO,Brimstone Inv Corp Ltd-N,Consumer Defensive,137101901824.0,0.986,659.2292,0.114829995,69.91502,0.0,27.996943,75211376.0,,99.658,
BRT.JO,Brimstone Inv Corp Ltd,Consumer Defensive,23961014272.0,0.986,659.2292,0.114829995,69.91502,0.0,4.8929677,75211376.0,,99.658,
BSR.JO,,,,,,,,,,,,,
BTI.JO,British American Tob plc,Consumer Defensive,151282035720192.0,57.801,1140.5858,0.09585,2397.1711,0.9768,5891.0454,4945750016.0,0.0727,71.248,
BUC.JO,Buffalo Coal Corp,Energy,32022827008.0,-0.005,,,,0.0,93.57913,27679966.0,,,
BVT.JO,Bidvest Ltd,Industrials,6585329909760.0,11.305,1713.8434,0.14861,257.86572,0.2568,74.56654,8442138624.0,0.0313,90.09,1.13
BWN.JO,Balwin Properties Ltd,Real Estate,154419118080.0,0.79,416.4557,0.11852,47.612156,0.45369998,50.083977,-552366144.0,0.1278,78.05,
BYI.JO,Bytes Technology Group,Technology,2562457337856.0,2.002,5344.6553,0.52098,69934.64,0.0,6047.725,50184500.0,0.0072000003,3.5,
CAC.JO,Cafca Limited,Industrials,90525122560.0,0.138,840.5797,-0.14285,229.70297,0.76089996,,,,7.559,
CAT.JO,Caxton CTP Publish Print,Communication Services,316390670336.0,1.481,596.894,0.09671,51.497143,0.0,60.606422,406006240.0,0.056199998,0.334,
CATP.JO,Caxton CTP Publish 6%Pf,Communication Services,3046994432.0,1.481,6448.3457,0.09671,556.3323,0.0,0.583669,406006240.0,0.0429,0.334,
CCO.JO,Capital&Counties Prop plc,Real Estate,3193125208064.0,-9.219,,-0.19976999,1927.5437,0.0,45812.414,89675000.0,0.0027,56.951,
CFR.JO,Compagnie Fin Richemont,Consumer Cyclical,128650754129920.0,7.472,3043.8972,0.13611001,7048.032,0.4186,7762.6714,2910500096.0,0.0125,78.669,
CGN.JO,Cognition Holdings Ltd,Industrials,17195474944.0,0.009,8333.334,0.048010003,78.78151,0.0,74.58053,29010452.0,,,
CGR.JO,Calgro M3 Hldgs Ltd,Consumer Cyclical,48560001024.0,0.84,476.1905,0.12708999,55.332687,0.0,45.831573,26157040.0,,105.427,
CHP.JO,Choppies Enterprises Ltd,Consumer Defensive,99455508480.0,0.07,1100.0,,,0.0,18.656906,101454000.0,,,
CKS.JO,Crookes Brothers Ltd,Consumer Defensive,61041934336.0,-0.583,,0.01276,58.91279,,90.89559,161645632.0,0.025,32.4,
CLH.JO,City Lodge Hotels Ltd,Consumer Cyclical,317931356160.0,-1.61,,-1.06948,348.58932,0.0,623.40826,-869454144.0,,227.451,
CLI.JO,Clientele Ltd,Financial Services,352088096768.0,1.169,898.20355,0.37458,325.78342,0.8129,122.786896,345330240.0,0.1014,10.182,
CLS.JO,Clicks Group Ltd,Healthcare,7554315321344.0,7.438,4136.058,0.38285,1572.0782,0.7648,202.31686,2755183360.0,0.0154,60.828,2.74
CMH.JO,Combined Motor Hldgs Ltd,Consumer Cyclical,185508954112.0,4.445,557.93024,0.37587002,191.98018,0.5061,17.611015,391787360.0,0.0946,120.593,
CML.JO,Coronation Fund Mngrs Ld,Financial Services,1828049649664.0,4.879,1071.1211,0.76874,806.73047,0.9203,423.84644,11349250048.0,0.081599995,24.051,
CMO.JO,Chrometco Ltd,Basic Materials,15254579200.0,-0.078,,-5.43333,,0.0,13.64516,-91948872.0,,,
CND.JO,Conduit Capital Ltd,Financial Services,46802763776.0,-0.211,,-1.51274,2615.3845,0.0,44.409744,-53995876.0,,399.716,
COH.JO,Curro Holdings Limited,Consumer Defensive,738483044352.0,0.011,112272.73,-0.00097000005,106.273125,0.0,224.59947,-210624992.0,,45.255,
CPI.JO,Capitec Bank Hldgs Ltd,Financial Services,24316357902336.0,66.927,3142.2295,0.26708,762.17194,0.239,1162.5182,,0.0136,,
CPIP.JO,Capitec Bank Hldgs Pref,Financial Services,169845456896.0,66.927,164.34323,0.26708,39.862717,,8.119984,,0.056799997,,
CRP.JO,Capital & Regional Plc,Real Estate,208404004864.0,-24.746,,-0.67609,1112.0918,0.0,2964.495,6487500.0,,377.348,
CSB.JO,Cashbuild Ltd,Consumer Cyclical,613128798208.0,29.326,922.3897,0.28256,240.26718,0.3396,48.60073,940243520.0,0.1675,65.171,
CSG.JO,CSG Holdings Ltd,Industrials,17640050688.0,0.117,290.5983,0.0975,40.332146,0.0,11.114419,-41825248.0,,28.019,
CTA.JO,CAPITAL APPRECIATION LTD,Technology,243326009344.0,0.132,1515.1515,0.118389994,171.52658,0.41669998,330.96124,45062248.0,0.0419,1.075,
,,,,,,,,,,,,,
DCP.JO,Dis-Chem Pharmacies Ltd,Healthcare,3026597969920.0,0.902,3902.439,0.2793,990.43335,0.3448,106.54349,1659816448.0,0.0147,135.656,
DGH.JO,Distell Group Hldgs Ltd,Consumer Defensive,3727900540928.0,8.778,1930.1664,0.15685001,284.85684,0.0,186.84683,2809862912.0,,34.626,
DIA.JO,Dipula Income Fund A,Real Estate,246116122624.0,0.801,1161.0487,0.08623,90.30879,0.73690003,187.30927,251942256.0,0.1347,64.02,
DIB.JO,Dipula Income Fund B,Real Estate,105856393216.0,0.801,499.3758,0.08623,38.84249,0.56310004,80.56312,251942256.0,0.2347,64.02,
DKR.JO,Deutsche Konsum REIT-AG,Real Estate,72069595136.0,33.075,61.980347,0.21283,154.00797,0.2299,861.6436,-25066288.0,0.0242,132.318,
DLT.JO,Delta Property Fund Ltd,Real Estate,44996489216.0,-0.302,,-0.05947,12.321533,0.0,31.503572,142458496.0,,131.917,
DNB.JO,Deneb Investments Ltd,Industrials,77985464320.0,0.363,493.11295,0.11133,49.13533,0.28280002,26.509085,120572128.0,0.0579,63.206,
DRA.JO,DRA Global Ltd,Industrials,181726937088.0,3.557,943.2106,,845.72723,,168.99942,,,19.116,
DRD.JO,DRD Gold Ltd,Basic Materials,1092835672064.0,16.72,76.43541,0.32501,22.673243,0.4486,207.40855,737312512.0,0.0871,1.137,
DSBP.JO,Discovery Ltd B pref,Financial Services,99251519488.0,4.754,2030.2902,0.07079,138.91367,,1.2703218,-13192875008.0,0.0698,43.278,
DSY.JO,Discovery Ltd,Financial Services,9449438707712.0,4.754,3026.2935,0.07079,207.06082,0.0,120.94352,-13192875008.0,,43.278,1.12
DTC.JO,Datatec Ltd,Technology,801659813888.0,0.918,4025.0544,0.02664,1289.7034,1.1819999,182.04778,26587000.0,0.026700001,99.706,
EEL.JO,Efora Energy Limited,Energy,13245960192.0,-0.411,,-2.3300102,444.44443,0.0,7.8178806,18487250.0,,,
ELI.JO,Ellies Holdings Ltd,Technology,28188999680.0,0.014,2500.0,0.009649999,179.48718,0.0,27.27995,-2402375.0,,104.765,
EMH.JO,E Media Holdings Ltd,Communication Services,,,,0.0841,,0.2929,,924313984.0,0.082600005,14.143,
