Code,Market Cap,Last trade,Change,%Change,Sector
SPG,"	12649800000",33.76,-0.29,-0.85,Industrials
IAP,"	12311400000",18.23,0.06,0.33,Financials
VKE,"	12258800000",12.53,-0.29,-2.26,Financials
TSG,"	12024700000",11.3,-0.15,-1.31,Consumer Services
AFE,"	11936700000",107.57,-1,-0.92,Basic Materials
DRD,"	11507700000",12.88,-0.43,-3.23,Basic Materials
TGA,"	11469300000",84.64,0.5,0.59,Basic Materials
OMN,"	10988400000",62.62,-2.38,-3.66,Basic Materials
STP,"	10815700000",36.1,0,0,Financials
APH,"	10782100000",11.85,-0.6,-4.82,Basic Materials
EPP,"	10768200000",11.5,-0.36,-3.04,Financials
KAP,"	10554300000",4.04,-0.12,-2.88,Industrials
ACL,"	10014900000",8.92,0.12,1.36,Basic Materials
ADH,"	9924830000",17.06,-0.84,-4.69,Consumer Services
IPF,"	9820010000",11.67,-0.53,-4.34,Financials
JSE,"	9699020000",110.16,-1.48,-1.33,Financials
GTC,"	9670740000",20,0,0,Financials
RLO,"	9315050000",51.13,0.77,1.53,Industrials
AIP,"	8559460000",47.54,-1.16,-2.38,Health Care
DTC,"	8430980000",38.29,-0.57,-1.47,Technology
PPC,"	8331990000",5.1,-0.13,-2.49,Industrials
AFT,"	8300760000",55.7,-1.02,-1.8,Industrials
JBL,"	8260840000",3.24,-0.16,-4.71,Basic Materials
AIL,"	8038430000",6.25,0.15,2.46,Financials
PAN,"	7732020000",3.45,-0.01,-0.29,Basic Materials
COH,"	7510400000",12.64,0.08,0.64,Consumer Services
FBR,"	7505150000",73.78,-1.12,-1.5,Consumer Services
THA,"	7416750000",27.5,0.53,1.97,Basic Materials
OCE,"	7265050000",55.14,-0.56,-1.01,Consumer Goods
ARL,"	7159430000",168.94,2.14,1.28,Consumer Goods
RBX,"	7097340000",39.21,0.16,0.41,Industrials
SUI,"	6969750000",26.1,-0.31,-1.17,Consumer Services
HCI,"	6864210000",76,-4.17,-5.2,Financials
WBO,"	6705340000",111.56,-0.4,-0.36,Industrials
MUR,"	6648800000",14.65,-0.3,-2.01,Industrials
CSB,"	6572320000",252.31,-10.68,-4.06,Consumer Services
SSS,"	6246680000",14.18,-0.2,-1.39,Financials
AFH,"	6093380000",4.46,-0.04,-0.89,Financials
BAT,"	5926770000",4.58,0.09,2,Financials
ATT,"	5794460000",7.47,-0.24,-3.11,Financials
SAC,"	5607850000",2.24,0.01,0.45,Financials
MTA,"	5575580000",26.6,-1.42,-5.07,Consumer Goods
RAV,"	5381690000",9.5,0,0,Financials
