JSE_code,Company,Market_cap,Sector
EXX,Exxaro Resources Ltd.,54586500000,Basic Materials
FBR,Famous Brands Ltd.,7505150000,Consumer Services
FFA,Fortress REIT Ltd.,14787700000,Financials
FFB,Fortress REIT Ltd.,3454550000,Financials
FGL,Finbond Group Ltd.,908243000,Financials
FSE,Firestone Energy Ltd.,212982000,Basic Materials
FSR,FirstRand Ltd.,3.34E+11,Financials
FSRP,FirstRand Ltd.,4879430000,Financials
FTH,Frontier Transport Holdings Ltd.,,
FVT,Fairvest Property Holdings Ltd.,2103310000,Financials
GFI,Gold Fields Ltd.,1.51E+11,Basic Materials
GLI,Go Life International Ltd.,9000000,Health Care
GLN,Glencore plc,1.13E+12,Basic Materials
GML,Gemfields Group Ltd.,3496740000,Basic Materials
GND,Grindrod Ltd.,3322630000,Industrials
GNDP,Grindrod Ltd.,,
GPL,Grand Parade Investments Ltd.,1264360000,Financials
GRT,Growthpoint Properties Ltd.,50775700000,Financials
GSH,Grindrod Shipping Holdings Ltd.,4325830000,Industrials
GTC,Globe Trade Centre S.A.,9670740000,Financials
HAR,Harmony Gold Mining Company Ltd.,38206100000,Basic Materials
HCI,Hosken Consolidated Investments Ltd.,6864210000,Financials
HDC,Hudaco Industries Ltd.,4216180000,Industrials
HET,Heriot REIT Ltd.,2947400000,Financials
HIL,Homechoice International plc,2774990000,Consumer Services
HLM,Hulamin Ltd.,1345920000,Basic Materials
HMN,Hammerson Plc,29256800000,Financials
HUG,Huge Group Ltd.,608374000,Telecommunications
HUL,Hulisani Ltd.,207500000,Financials
HWA,Hwange Colliery Company Ltd.,51680300,Basic Materials
HYP,Hyprop Investments Ltd.,12800000000,Financials
IAP,Irongate Group,12311400000,Financials
ILE,Imbalie Beauty Ltd.,13840400,Consumer Goods
ILU,Indluplace Properties Ltd.,1110530000,Financials
IMP,Impala Platinum Holdings Ltd.,1.86E+11,Basic Materials
INL,Investec Ltd.,27059100000,Financials
INLP,Investec Bank Ltd.,,
INP,Investec plc,58457000000,Financials
INPP,Investec plc,,
INPPR,Investec plc,,
INPR,Investec Ltd.,,
IPF,Investec Property Fund Ltd.,9820010000,Financials
IPL,Imperial Logistics Ltd.,12752600000,Industrials
ISA,ISA Holdings Ltd.,145004000,Technology
ISB,Insimbi Industrial Holdings Ltd.,421538000,Basic Materials
ITE,Italtile Ltd.,21410800000,Consumer Services
IVT,Invicta Holdings Ltd.,2863430000,Industrials
IVTP,Invicta Holdings Ltd.,,
JBL,Jubilee Metals Group Plc,8260840000,Basic Materials
JSC,Jasco Electronics Holdings Ltd.,77968500,Technology
JSE,JSE Ltd.,9699020000,Financials
KAL,Kaap Agri Ltd.,3374750000,Consumer Services
KAP,KAP Industrial Holdings Ltd.,10554300000,Industrials
KBO,Kibo Energy PLC,234453000,Basic Materials
KIO,Kumba Iron Ore Ltd.,1.46E+11,Basic Materials
KP2,Kore Potash plc,675099000,Basic Materials
KRO,Karooooo Ltd.,15475600000,Technology
KST,PSG Konsult Ltd.,16800100000,Financials
L2D,Liberty Two Degrees,4197010000,Financials
L4L,Long4Life Ltd.,4054040000,Financials
LAB,Labat Africa Ltd.,166921000,Industrials
LBH,Liberty Holdings Ltd.,26241900000,Financials
LBR,Libstar Holdings Ltd.,4200640000,Consumer Goods
LEW,Lewis Group Ltd.,2968210000,Consumer Services
LHC,Life Healthcare Group Holdings Ltd.,33719700000,Health Care
LNF,London Finance & Investment Group PLC,218452000,Financials
LTE,Lighthouse Capital Ltd.,13860200000,Financials
LUX,Luxe Holdings Ltd.,,
MCG,MultiChoice Group Ltd.,53256400000,Consumer Services
MCZ,MC Mining Ltd.,186848000,Basic Materials
MDI,Master Drilling Group Ltd.,1686580000,Industrials
MEI,Mediclinic International plc,47390000000,Health Care
MFL,Metrofile Holdings Ltd.,1509280000,Industrials
MHB,Mahube Infrastructure Ltd.,,
MIX,MiX Telematics Ltd.,4852070000,Industrials
MKR,Montauk Renewables Inc.,,
MLI,Industrials REIT Ltd.,,
MMP,Marshall Monteagle PLC,824723000,Industrials
MNP,Mondi plc,1.86E+11,Basic Materials
MPT,Mpact Ltd.,4652710000,Industrials
MRF,Merafe Resources Ltd.,2799020000,Basic Materials
MRP,Mr Price Group Ltd.,51447300000,Consumer Services
MSM,Massmart Holdings Ltd.,13477000000,Consumer Services
MSP,MAS P.L.C.,30675000000,Financials
MST,Mustek Ltd.,843520000,Technology
MTA,Metair Investments Ltd.,5575580000,Consumer Goods
MTH,Motus Holdings Ltd.,19266400000,Consumer Services
MTM,Momentum Metropolitan Holdings Ltd.,27853000000,Financials
MTN,MTN Group Ltd.,3.25E+11,Telecommunications
MTNZF,MTN Zakhele Futhi (RF) Ltd.,4085100000,Financials
MTU,Mantengu Mining Ltd.,,
MUR,Murray & Roberts Holdings Ltd.,6648800000,Industrials
N91,Ninety One plc,36106000000,Financials
NCS,Nictus Ltd.,48099200,Consumer Services
NED,Nedbank Group Ltd.,87001600000,Financials
NFP,New Frontier Properties Ltd.,8046770,Financials
NPH,Northam Platinum Holdings Ltd.,,
NPK,Nampak Ltd.,2609990000,Industrials
NPKP,Nampak Ltd.,,
NPN,Naspers Ltd.,1.03E+12,Technology
NPP1,Nampak Ltd.,,
NRL,Newpark REIT Ltd.,379000000,Financials
NRP,NEPI Rockcastle plc,64407300000,Financials
NT1,Net 1 UEPS Technologies Inc.,4059470000,Industrials
NTC,Netcare Ltd.,20780500000,Health Care
NTCP,Netcare Ltd.,,
NUT,Nutritional Holdings Ltd.,6697350,Health Care
NVE,NVest Financial Holdings Ltd.,482048000,Financials
NVS,Novus Holdings Ltd.,814642000,Industrials
NWL,Nu-World Holdings Ltd.,711099000,Consumer Goods
NY1,Ninety One Ltd.,17051100000,Financials
OAO,Oando plc,2610600000,Oil & Gas
OAS,Oasis Crescent Property Fund,1361620000,Financials
OCE,Oceana Group Ltd.,7265050000,Consumer Goods
OCT,Octodec Investments Ltd.,2156200000,Financials
OLG,OneLogix Group Ltd.,628554000,Industrials
OMN,Omnia Holdings Ltd.,10988400000,Basic Materials
OMU,Old Mutual Ltd.,59516100000,Financials
ORN,Orion Minerals Ltd.,1155140000,Basic Materials
PAN,Pan African Resources PLC,7732020000,Basic Materials
PBG,PBT Group Ltd.,821283000,Technology
PEM,Pembury Lifestyle Group Ltd.,41524000,Consumer Services
PFB,Premier Fishing and Brands Ltd.,195000000,Consumer Goods
PIK,Pick n Pay Stores Ltd.,25481800000,Consumer Services
PMV,Primeserv Group Ltd.,129115000,Industrials
PPC,PPC Ltd.,8331990000,Industrials
