Ticker,Name,Sector,Market_cap,EPS,PE_ratio,ROE,PB_ratio,Div_payout,PS_ratio,FCF,Debt_to_equity
ATI.JO,Afristrat Inv Hldgs Ltd,Industrials,594458992.64,-0.005,1211.8949705263158,0.07165000008888889,311.34461130434784,0.0,-404.38013,9097657.18068182,106.65353333333334
ATT.JO,Attacq Limited,Real Estate,5408300728.32,0.216,3550.9258,0.01358,48.68605,0.0,219.76573,640593.76,91.65
AVI.JO,AVI Ltd,Consumer Defensive,25086611947.52,4.974,1527.9453,0.34939,569.886,0.8243,189.05896,18145625.6,43.588
AVL.JO,Advanced Health Ltd,Healthcare,274331750.4,-0.052,3518.170847,0.00345,504.58716,0.0,40.3029,709744.96,353.763
AVV.JO,Alviva Holdings Ltd,Technology,2051374940.16,2.589,695.6354,0.12347999,84.94482,0.0579,13.773963,74161.25,59.545
AYO.JO,Ayo Tech Solutions Ltd,Technology,1359289794.56,-0.596,1670.7868476875,-0.06537,35.28676,0.24895237619047622,79.982124,-5449667.2,3.844
BAT.JO,Brait PLC,Financial Services,6045554442.24,0.997,459.37814,0.12276,1139.3035,0.0,5962.6187,387103.52,62.83
BAU.JO,Bauba Resources Limited,Basic Materials,277432299.52,-0.047,1487.5311742424242,-0.08891,83.333336,0.0,100.11992,-1172323.76,34.804
BAW.JO,Barloworld Ltd,Industrials,27314967019.52,13.758,1001.381,0.1362,128.7859,0.0992,65.73525,61977497.6,63.575
BCF.JO,Bowler Metcalf Ltd,Consumer Cyclical,845058867.2,1.273,926.1587,0.12942,115.328186,0.3841,132.97334,199137.5,0.218
BEL.JO,Bell Equipment Ltd,Industrials,1233619271.68,1.539,838.2066,0.04681,34.361515,0.0,16.547428,8532840.96,30.861
BHP.JO,BHP Group Plc,Basic Materials,1062519040901.12,35.438,1419.5779,0.2496,4962.711,0.6935,1735.2632,189752504.32,38.79
BID.JO,BID Corporation Ltd,Consumer Defensive,110923968675.84,9.232,3595.1038,0.11273,398.05234,0.0,96.620766,38968000.0,50.256
BIK.JO,Brikor Ltd,Industrials,322576793.6,0.031,1290.3226,0.24518,277.7778,0.0,114.19496,161810.0,25.768
BLU.JO,Blue Label Telecoms Ltd,Communication Services,4627702415.36,0.914,563.45734,0.29823,140.86433,0.0,25.09782,13047787.52,55.063
